Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Finland,Veikkausliiga,2019,27/08/2019,16:30,Ilves,HIFK,3,1,H,1.83,3.4,5.17,1.88,3.6,5.4,1.8,3.36,4.7
Ireland,Premier Division,2019,26/08/2019,19:45,Dundalk,UC Dublin,3,0,H,1.05,17.09,47.87,1.06,17.09,51,1.03,13.33,32.54
Ireland,Premier Division,2019,27/08/2019,20:00,Shamrock Rovers,Waterford,2,1,H,1.19,6.66,18.36,1.23,7.5,19,1.18,6.57,14.42
Mexico,Liga MX,2019/2020,28/08/2019,01:00,Atl. San Luis,Monarcas,1,1,D,2.57,3.35,2.87,2.6,3.38,2.88,2.47,3.23,2.76
Mexico,Liga MX,2019/2020,28/08/2019,01:00,Atlas,U.A.N.L.- Tigres,1,1,D,4.13,3.63,1.94,4.5,3.63,1.97,3.85,3.4,1.92
Mexico,Liga MX,2019/2020,28/08/2019,01:00,Veracruz,Queretaro,0,5,A,3.94,3.84,1.93,3.95,4,2,3.62,3.59,1.92
Mexico,Liga MX,2019/2020,28/08/2019,03:00,Club America,Pachuca,1,1,D,2.38,3.51,3.03,2.38,3.6,3.1,2.28,3.39,2.9
Mexico,Liga MX,2019/2020,29/08/2019,01:00,Club Leon,Santos Laguna,2,2,D,1.69,4.35,4.62,1.72,4.35,4.75,1.66,4.07,4.37
Mexico,Liga MX,2019/2020,29/08/2019,03:00,Necaxa,Toluca,1,1,D,2.22,3.43,3.42,2.24,3.5,3.45,2.15,3.29,3.24
Mexico,Liga MX,2019/2020,29/08/2019,03:06,Club Tijuana,Cruz Azul,3,2,H,2.94,3.12,2.67,3,3.3,2.72,2.82,3.03,2.55
Mexico,Liga MX,2019/2020,30/08/2019,01:00,Puebla,Juarez,2,1,H,2.19,3.43,3.49,2.2,3.44,3.55,2.12,3.28,3.34
Mexico,Liga MX,2019/2020,30/08/2019,03:00,Monterrey,U.N.A.M.- Pumas,2,0,H,1.48,4.52,6.99,1.5,4.55,7.5,1.46,4.29,6.31
USA,MLS,2019,29/08/2019,01:00,Montreal Impact,Vancouver Whitecaps,2,1,H,1.45,4.68,7.33,1.45,5,7.5,1.42,4.68,6.72
